Time period;Japan;SouthAfrica
1993-Q1;;570937.3
1993-Q2;;574835.4
1993-Q3;;582207
1993-Q4;;587176.1
1994-Q1;111554550;586899.4
1994-Q2;110960300;592625.5
1994-Q3;112231525;599289.7
1994-Q4;111785175;610426.2
1995-Q1;113007950;611952
1995-Q2;114093175;613711.2
1995-Q3;115424150;617783
1995-Q4;115704675;619861
1996-Q1;116670225;631343.9
1996-Q2;118144625;638865.5
1996-Q3;118287050;646477.5
1996-Q4;119607450;652542.5
1997-Q1;119898550;655571.8
1997-Q2;119025750;659684.9
1997-Q3;119250000;660340.8
1997-Q4;119294175;660432
1998-Q1;117827875;662167
1998-Q2;117331975;663103.5
1998-Q3;117534850;661651
1998-Q4;118480000;662288.1
1999-Q1;116836550;668653.1
1999-Q2;117298550;673974.9
1999-Q3;117918700;681334
1999-Q4;117961150;688828.6
2000-Q1;119993025;696879.9
2000-Q2;120532700;703291.1
2000-Q3;120562175;710256.4
2000-Q4;121736200;716300.4
2001-Q1;122629250;720702.2
2001-Q2;121716550;724303.5
2001-Q3;120394950;726228.4
2001-Q4;119979900;731815.4
2002-Q1;120177475;739763
2002-Q2;121149725;749149.5
2002-Q3;121541450;757628.6
2002-Q4;121877725;763932
2003-Q1;121947250;768781.2
2003-Q2;122778875;772535.7
2003-Q3;123154575;776728.1
2003-Q4;124498050;781209.3
2004-Q1;125443500;793035.1
2004-Q2;125412825;804117.4
2004-Q3;126195750;817265.7
2004-Q4;125960400;825993.5
2005-Q1;126596800;834390.5
2005-Q2;127572675;849364.1
2005-Q3;128878675;860946.2
2005-Q4;129113325;866709
2006-Q1;129299125;881938.5
2006-Q2;129499250;894464.2
2006-Q3;129251075;906818.1
2006-Q4;131001450;919357.8
2007-Q1;131847625;934285.1
2007-Q2;131906450;941942.1
2007-Q3;131193900;952981.1
2007-Q4;131769025;966485.6
2008-Q1;132261775;970544.9
2008-Q2;131467075;982394.1
2008-Q3;129827550;984741.4
2008-Q4;126626950;979135.8
2009-Q1;120521200;963904.9
2009-Q2;122899875;960596.7
2009-Q3;122837575;962824.4
2009-Q4;124368500;969246.1
2010-Q1;125655625;980554.6
2010-Q2;127184600;988785.5
2010-Q3;129477700;997588.1
2010-Q4;128437400;1006873.5
2011-Q1;127052150;1016789.2
2011-Q2;125977075;1022479.8
2011-Q3;129035075;1026710.6
2011-Q4;128871850;1033734.2
2012-Q1;130656350;1039593.8
2012-Q2;129450650;1048271.6
2012-Q3;128966450;1052533.5
2012-Q4;128894650;1057553.5
2013-Q1;130618975;1065760.3
2013-Q2;131824975;1073512.5
2013-Q3;133103175;1078605.8
2013-Q4;132966275;1084412.5
2014-Q1;133973025;1082916.8
2014-Q2;131588900;1087190.7
2014-Q3;131723275;1092415.5
2014-Q4;132353050;1100595.2
2015-Q1;134334450;1108545.4
2015-Q2;134550975;1099186.4
2015-Q3;134713475;1104137.4
2015-Q4;134483275;1108923.4
2016-Q1;135471525;1111572.2
2016-Q2;135259725;1112641.7
2016-Q3;135548175;1112506.2
2016-Q4;135731875;1113450.8
2017-Q1;136768950;1118707.7
2017-Q2;137349450;1124808.1
2017-Q3;138494650;1126876.6
2017-Q4;138602125;1131309.2
2018-Q1;138679550;1137294.2
2018-Q2;139295475;1134466.2
2018-Q3;138499425;1148418.1
2018-Q4;138216925;1151604.9
2019-Q1;138522375;1141546.4
2019-Q2;139220850;1146708.6
2019-Q3;139356350;1147913.9
2019-Q4;135381675;1147498.2
2020-Q1;136116050;1147036.8
2020-Q2;125786325;953846.2
2020-Q3;132510950;1085060.9
2020-Q4;134826275;1114960.5
2021-Q1;135254625;1121623.3
2021-Q2;136105950;1137721.8
2021-Q3;135470550;1118356.2
2021-Q4;137089500;1136314.3
2022-Q1;136266525;1151125.1
2022-Q2;137776025;1140330.8
2022-Q3;137196775;1162541.1
2022-Q4;137701250;1146303.1
2023-Q1;139387800;1153529.2
2023-Q2;140102275;1161487.5
2023-Q3;138651250;1156701.1
2023-Q4;138880850;1160714.8
2024-Q1;138108150;1161385.5
2024-Q2;138852650;1164877.2
2024-Q3;139280950;1163172.6
2024-Q4;;1169858.7
